,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
169,34678,12 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
171,34768,12 November 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Dan Na Ambassagou,,
174,35056,12 November 2020,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
177,35498,11 November 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
181,36349,10 November 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,,,
182,36478,10 November 2020,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Police Forces of Mali (2020-),,
183,36485,10 November 2020,Battles,Mali,Gao,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
186,37950,08 November 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Military Forces of Mali (2020-),,
189,39029,06 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
190,39248,06 November 2020,Battles,Mali,Gao,Military Forces of France (2017-),Ansaroul Islam,,Katiba Gourma; JNIM: Group for Support of Islam and Muslims
193,39953,05 November 2020,Battles,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
194,40526,04 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
199,40967,04 November 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Dan Na Ambassagou,,
215,42775,01 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
216,42797,01 November 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
217,42801,01 November 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
226,43569,31 October 2020,Battles,Mali,Segou,Fulani Ethnic Militia (Mali),Dozo Communal Militia (Mali),Pastoralists (Mali),
227,43964,30 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
233,44363,30 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
234,44379,30 October 2020,Battles,Mali,Mopti,Military Forces of France (2017-),Ansaroul Islam,,JNIM: Group for Support of Islam and Muslims
237,44830,29 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
239,45247,29 October 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
241,45685,28 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
242,45713,28 October 2020,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MAA: Arab Movement of the Azawad (CMA),,CMA: Coordination of Movements of the Azawad
244,45956,28 October 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
246,46146,28 October 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
249,47870,26 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
250,47876,26 October 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
251,48462,25 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
252,48510,25 October 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),Military Forces of Mali (2020-),
255,49253,24 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
256,49814,23 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
260,50629,22 October 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
