,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
2552,543092,23 June 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,
2553,543641,22 June 2018,Battles,Mali,Tombouctou,Military Forces of France (2017-),Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),
2557,544303,21 June 2018,Battles,Mali,Gao,Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,,
2559,544703,20 June 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,
2562,545722,18 June 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,
2564,546050,18 June 2018,Battles,Mali,Mopti,Dan Na Ambassagou,Alliance for the Salvation of the Sahel,Military Forces of Mali (2013-2020),
2565,546069,18 June 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
2568,546754,16 June 2018,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2569,547333,15 June 2018,Battles,Mali,Mopti,Alliance for the Salvation of the Sahel,Dan Na Ambassagou,,
2570,547616,14 June 2018,Battles,Mali,Kidal,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,Ansar Dine
2573,548352,12 June 2018,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2576,548835,12 June 2018,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),Karakindje Communal Militia (Mali),,Fulani Ethnic Group (Mali)
2581,550283,09 June 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Serma,
2582,550287,09 June 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Serma,
2584,550395,09 June 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
2585,550416,09 June 2018,Battles,Mali,Mopti,Alliance for the Salvation of the Sahel,Dan Na Ambassagou,,
2586,550420,08 June 2018,Battles,Mali,Mopti,Alliance for the Salvation of the Sahel,Dan Na Ambassagou,,
2588,550792,08 June 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Ansar Dine,
2590,551030,07 June 2018,Battles,Mali,Mopti,Alliance for the Salvation of the Sahel,Dan Na Ambassagou,,
2592,551158,07 June 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,Government of Mali (2013-2020); Civilians (Mali); Students (Mali)
2593,551364,07 June 2018,Battles,Mali,Tombouctou,Islamic State (Greater Sahara),Police Forces of Mali (2013-2020) Gendarmerie,,
2594,551537,06 June 2018,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Al Mourabitoune Battalion,
2595,552098,05 June 2018,Explosions/Remote violence,Mali,Mopti,Ansaroul Islam,Civilians (Mali),,
2596,552640,04 June 2018,Battles,Mali,Gao,MSA: Movement for Azawad Salvation,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,
2599,553211,03 June 2018,Battles,Mali,Mopti,Alliance for the Salvation of the Sahel,Dan Na Ambassagou,,
2600,553757,02 June 2018,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),Ansaroul Islam,,
2602,554117,02 June 2018,Battles,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,
2603,554260,01 June 2018,Battles,Mali,Mopti,Alliance for the Salvation of the Sahel,Dan Na Ambassagou,,
2604,555083,31 May 2018,Battles,Mali,Segou,Alliance for the Salvation of the Sahel,Dozo Militia,,
2605,555288,30 May 2018,Battles,Mali,Gao,Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,,GATIA: Imghad Tuareg and Allies Self-Defense Group
2611,557778,26 May 2018,Battles,Mali,Gao,Islamist Militia (Mali),MSA: Movement for Azawad Salvation,,
2612,561981,22 May 2018,Battles,Mali,Gao,Arab Ethnic Militia (Mali),MSA: Movement for Azawad Salvation,,GATIA: Imghad Tuareg and Allies Self-Defense Group
2613,562502,22 May 2018,Battles,Mali,Mopti,Alliance for the Salvation of the Sahel,Dozo Militia,,Dogon Ethnic Group (Mali)
2619,564185,19 May 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,
2621,564188,19 May 2018,Battles,Mali,Mopti,Dozo Militia,Fulani Ethnic Militia (Mali),,Pastoralists (Mali)
2622,564217,19 May 2018,Battles,Mali,Mopti,Ansaroul Islam,Military Forces of Mali (2013-2020),,
2632,566229,15 May 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
2642,567538,13 May 2018,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
2643,567617,13 May 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,Military Forces of France (2017-)
2644,567620,13 May 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,Military Forces of France (2017-)
2648,568658,11 May 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,
2651,569709,09 May 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,Military Forces of France (2017-)
2652,570474,08 May 2018,Explosions/Remote violence,Mali,Gao,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,Katiba Salaheddine,
2656,571666,05 May 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,
2657,571668,05 May 2018,Battles,Mali,Mopti,Dozo Militia,Fulani Ethnic Militia (Mali),Dogon Ethnic Group (Mali),Pastoralists (Mali)
2661,573263,02 May 2018,Explosions/Remote violence,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
2664,574871,30 April 2018,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
2670,575845,28 April 2018,Explosions/Remote violence,Mali,Mopti,Military Forces of Mali (2013-2020),Dozo Militia,,Dogon Ethnic Group (Mali)
2673,575997,27 April 2018,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dozo Militia,Pastoralists (Mali),Dogon Ethnic Group (Mali)
2674,576380,27 April 2018,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Civilians (Mali),,
2676,576651,26 April 2018,Battles,Mali,Gao,Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,,
2677,576941,26 April 2018,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
2679,577470,25 April 2018,Battles,Mali,Gao,Ganda Izo Ethnic Militia (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
2681,578847,22 April 2018,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of France (2017-)
2682,579336,21 April 2018,Battles,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,AQIM: Al Qaeda in the Islamic Maghreb
2683,579339,21 April 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),Ansar Dine,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
2684,579471,21 April 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,
2685,579476,21 April 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Nouhoun-Bozo Communal Militia (Mali),Katiba Macina,
2686,579929,20 April 2018,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,Katiba Macina
2688,581443,18 April 2018,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Al Mourabitoune Battalion,
2689,582288,16 April 2018,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
2691,583195,15 April 2018,Battles,Mali,Tombouctou,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
2692,583209,15 April 2018,Battles,Mali,Menaka,HCUA: High Council for the Unity of Azawad,MSA: Movement for Azawad Salvation,,
2693,583350,14 April 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
2694,583434,14 April 2018,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of France (2017-)
2697,586208,09 April 2018,Battles,Mali,Gao,Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,,GATIA: Imghad Tuareg and Allies Self-Defense Group; Military Forces of France (2017-)
2698,586282,09 April 2018,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2700,586804,08 April 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
2701,586832,08 April 2018,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2705,587777,06 April 2018,Battles,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
2706,587920,06 April 2018,Battles,Mali,Gao,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2709,588699,05 April 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2711,589980,02 April 2018,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
2712,590169,02 April 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
2714,591175,01 April 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),Military Forces of Niger (2011-); Military Forces of Mali (2013-2020); MSA: Movement for Azawad Salvation; GATIA: Imghad Tuareg and Allies Self-Defense Group,
2715,591536,31 March 2018,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
2719,591967,30 March 2018,Battles,Mali,Gao,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,,MSA: Movement for Azawad Salvation
2720,592405,29 March 2018,Battles,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
2725,592925,28 March 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
2726,592928,28 March 2018,Battles,Mali,Mopti,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),JNIM: Group for Support of Islam and Muslims,,
2727,593011,28 March 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2728,593419,27 March 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
2730,594901,24 March 2018,Battles,Mali,Kidal,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,Ansar Dine
2733,595687,22 March 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Civilians (China); Labour Group (China)
2734,595733,22 March 2018,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
2736,595861,22 March 2018,Battles,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
2740,597056,20 March 2018,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),Fulani Ethnic Militia (Mali),,Pastoralists (Mali)
2741,597290,19 March 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
2744,597593,19 March 2018,Explosions/Remote violence,Mali,Mopti,Ansaroul Islam,Civilians (Mali),,
2747,597869,18 March 2018,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,Katiba Macina
2751,599601,15 March 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,,
2752,599602,15 March 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
2754,600020,14 March 2018,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,,,
2756,601271,12 March 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group; MSA: Movement for Azawad Salvation,
2757,601311,12 March 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,,
2758,601839,11 March 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group; MSA: Movement for Azawad Salvation,
2764,602820,09 March 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group; MSA: Movement for Azawad Salvation,
2766,603446,08 March 2018,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,
2767,603449,08 March 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2769,604086,07 March 2018,Battles,Mali,Gao,GATIA: Imghad Tuareg and Allies Self-Defense Group,Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,
2770,604681,06 March 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group; MSA: Movement for Azawad Salvation,
2772,605658,04 March 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2773,607088,01 March 2018,Battles,Mali,Gao,HCUA: High Council for the Unity of Azawad,MSA: Movement for Azawad Salvation,,
2775,607630,28 February 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2776,607665,28 February 2018,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
2779,608239,27 February 2018,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
2780,608243,27 February 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2781,608307,27 February 2018,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2782,608911,26 February 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group; MSA: Movement for Azawad Salvation,
2783,609417,25 February 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
2785,609462,25 February 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group; MSA: Movement for Azawad Salvation,
2786,609822,24 February 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
2787,609824,24 February 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
2788,611160,22 February 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group; MSA: Movement for Azawad Salvation,
2790,611463,21 February 2018,Battles,Mali,Tombouctou,MAA: Arab Movement of the Azawad (Platform),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
2792,611766,21 February 2018,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
2793,612131,20 February 2018,Battles,Mali,Gao,GATIA: Imghad Tuareg and Allies Self-Defense Group,JNIM: Group for Support of Islam and Muslims,MSA: Movement for Azawad Salvation,
2794,612172,20 February 2018,Battles,Mali,Gao,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,
2795,612756,19 February 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,
2797,613000,19 February 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
2798,613033,18 February 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group; MSA: Movement for Azawad Salvation,Katiba Salaheddine
2802,613507,17 February 2018,Battles,Mali,Kidal,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
2803,613738,17 February 2018,Battles,Mali,Gao,Unidentified Armed Group (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
2804,613775,17 February 2018,Battles,Mali,Mopti,Unidentified Armed Group (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
2805,614208,16 February 2018,Battles,Mali,Gao,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,Katiba Salaheddine,
2807,614700,15 February 2018,Battles,Mali,Tombouctou,MAA: Arab Movement of the Azawad (CMA),Unidentified Armed Group (Mali),,
2808,614710,15 February 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2811,615006,14 February 2018,Battles,Mali,Kidal,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
2812,615008,14 February 2018,Battles,Mali,Kidal,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
2817,616898,11 February 2018,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
2818,617811,09 February 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
2819,618158,08 February 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of France (2017-)
2821,620846,04 February 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
2822,620849,04 February 2018,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2823,621363,03 February 2018,Battles,Mali,Gao,MSA: Movement for Azawad Salvation,Unidentified Armed Group (Mali),,
2824,621465,03 February 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
2826,622616,31 January 2018,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
2828,623045,31 January 2018,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MAA: Arab Movement of the Azawad (Platform),,GATIA: Imghad Tuareg and Allies Self-Defense Group
2829,623731,30 January 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
2830,624593,28 January 2018,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
2831,624948,27 January 2018,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2832,625982,25 January 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2833,626168,25 January 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2834,626284,25 January 2018,Explosions/Remote violence,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Burkina Faso),,Civilians (Mali)
2835,626525,24 January 2018,Battles,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020),,
2836,627071,23 January 2018,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
2837,627565,23 January 2018,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2838,628126,22 January 2018,Battles,Mali,Bamako,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2839,629101,20 January 2018,Battles,Mali,Mopti,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2840,629104,20 January 2018,Explosions/Remote violence,Mali,Mopti,Unidentified Armed Group (Mali),,,
2841,630247,17 January 2018,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
2842,630378,17 January 2018,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
2846,632311,14 January 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of France (2017-)
2847,633331,12 January 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2848,633423,11 January 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2850,633608,11 January 2018,Battles,Mali,Segou,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
2851,633838,11 January 2018,Explosions/Remote violence,Mali,Gao,Islamic State (Greater Sahara),Military Forces of France (2017-),,
2853,634080,10 January 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2854,634538,10 January 2018,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),CMA: Coordination of Movements of the Azawad,,
2855,635133,09 January 2018,Battles,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2856,635247,08 January 2018,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
2857,636121,06 January 2018,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2858,636429,06 January 2018,Battles,Mali,Gao,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,,Military Forces of Mali (2013-2020)
2859,638192,02 January 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2863,639926,28 December 2017,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2864,640195,27 December 2017,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2865,640697,26 December 2017,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2866,641451,22 December 2017,Battles,Mali,Mopti,Unidentified Armed Group (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
2867,641776,21 December 2017,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
2868,641873,21 December 2017,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
2872,642603,18 December 2017,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2873,642626,18 December 2017,Battles,Mali,Gao,Military Forces of France (2017-),CMA: Coordination of Movements of the Azawad,,
2874,642887,17 December 2017,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2877,643466,15 December 2017,Battles,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2878,643484,15 December 2017,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2880,644198,12 December 2017,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2882,644352,12 December 2017,Battles,Mali,Gao,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
2884,644946,10 December 2017,Battles,Mali,Segou,Military Forces of France (2017-),Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),
2887,645121,09 December 2017,Battles,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
2888,645680,07 December 2017,Battles,Mali,Gao,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2889,645685,07 December 2017,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,
2893,648004,28 November 2017,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2894,648006,28 November 2017,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2895,648008,28 November 2017,Battles,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2897,649032,24 November 2017,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
2898,649092,24 November 2017,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
2899,649128,24 November 2017,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of Mali (2013-2020)
